VFG,BINNING
V31,HOOD STRUTS PLASTIC | BROKEN
V07,LIFTGATE LATCH | AJAR MALFUNCTION
V07,HOOD LATCH | OWD
V07,HOOD LATCH | OWD
V07,HOOD LATCH | MALFUNCTION
V31,HOOD GAS STRUTS (DESIRABLE)
V09,REAR WINDOW | EXPLODED
V31,HOOD | FLUTTER
V31,HOOD INSULATOR | DESIRABLE
V31,HEAT SHIELDS | LOOSE
V77,HEADLIGHTS PERFORMANCE (DESIGN) | TOO BRIGHT
V77,HEADLIGHTS PERFORMANCE (DESIGN) | POOR VISIBILITY
V77,HEADLIGHTS PERFORMANCE | MALFUNCTION
V77,HEADLIGHTS LOW BEAM | MALFUNCTION
V77,HEADLIGHTS HIGH BEAM | MALFUNCTION
V37,BRAKE LIGHT | WATER LEAK
V77,HEADLIGHTS | SETTINGS
V77,HEADLIGHTS | MISALIGNED
V77,HEADLIGHTS | MALFUNCTION
V77,HEADLIGHTS | INOP
V77,HEADLIGHTS | IMPROPER ASSEMBLY
V77,HEADLIGHTS | HEIGHT ADJUST
V77,HEADLIGHTS | F&F
V77,HEADLIGHTS | CRACKED
V77,HEADLIGHTS | CONDENSATION
V09,REAR WINDOW | DESIGN PROBLEM
V75,GRILLE | CRACKED
V07,HOOD LATCH | HOOD CRACKING
V31,DOOR | STRUT
V37,DOOR | WATER LEAK
V31,DOOR CHECK ARM | BROKEN
V07,DOOR HANDLE | BROKEN
V15,FRONT WIPER MOTOR | SLOW WIPING
V15,FRONT WIPER | TOTALLY INOPERATIVE
V15,FRONT WIPER MOTOR | MALFUNCTION
V15,FRONT WIPER BLADE | POOR CLEANING
V15,FRONT WIPER BLADE | CLIPS
V15,FRONT WIPER ARM | LOOSE / FELL OFF
V15,FRONT WIPER ARM | FROZEN
V15,FRONT WIPER ARM | BROKEN CRACKED
V15,FRONT WIPER | NOISY
V78,FRAME | RUST SPOT
V13,EXTERIOR MIRRORS | UNSPECIFIED
V31,EXTERIOR | RUST SPOT
V07,DOOR HANDLE | DESIGN
V07,DOOR HANDLE | EASY TO BREAK INTO
V07,HOOD LATCH | FROZEN
V07,DOOR HANDLE | LOOSE
V07,DOOR HANDLE | MALFUNCTION
V07,DOOR HANDLE BUTTON | MALFUNCTION
V09,MOONROOF | WIND NOISE
V07,DOOR HANDLE SENSOR | MALFUNCTION
V07,DOOR KEYLESS PAD FRAME | CRACKED
V07,DOOR KEYPAD | DETACHED
V07,DOOR KEYPAD | MALFUNCTION
V07,DOOR LATCH  | CHILD SAFETY LOCK
V07,DOOR LATCH | AJAR MALFUNCTION
V07,DOOR LATCH | BROKEN
V07,DOOR LATCH | FROZEN
V07,DOOR LATCH | LOCK SYSTEM
V07,DOOR LATCH | MALFUNCTION
V07,DOOR LATCH | NOISE
V07,DOOR LATCH | OWD
V07,DOOR LATCH | SHARP METALLIC EDGE
V73,DOOR PANEL | LOOSE / DETACHED
V75,DOOR TRIM | FELL OFF
V31,DOOR WEATHERSTRIPPING | DRY
V31,DOOR WEATHERSTRIPPING | LOOSE / DETACHED
V31,GRILLE | CRACKED
V31,FRONT DOOR | SHEET METAL DENTS / DINGS 
V75,FUEL DOOR | BROKEN
V75,FUEL DOOR | HARD TO CLOSE
V75,FUEL DOOR | LOOSE
V75,FUEL DOOR | MALFUNCTION
V07,FUEL DOOR LATCH | FROZEN
V31,SLIDING DOOR HINGE | BROKEN
V75,COWL GRILLE | LOOSE / FELL OFF
V07,CONVERTIBLE ROOF LATCH | MALFUNCTION
V77,CONTROL LIGHT 
V07,SLIDING DOORS LATCH | MALFUNCTION
V07,SLIDING DOORS LATCH | OWD
V38,WATER RUNOFF DOOR | DESIGN
V77,CAB LIGHTS | NOT SUFFICIENT
V75,BUMPER | F&F
V37,A-PILLAR | WATER LEAK
V77,BRAKE LIGHT | MALFUNCTION
V31,BODY PANEL | SHARP EDGE
V31,LIFTGATE | BODY F&F
V31,BED (DESIGN)
V09,REAR WINDOW DEFROSTER | LOOSE / DETACHED
V09,REAR WINDOW | DEFROST
V09,REAR WINDOW | CRACKED / EXPLODED
V09,REAR WINDOW | FELL OFF
V09,POWER WINDOW | MALFUNCTION
V09,MOONROOF | F&F
V31,HOOD | HIT WINDSHIELD
V09,HATCH GLASS | EXPLODED
V09,HATCH WINDOW | EXPLODED
V77,AUTOLAMPS | MALFUNCTION 
V15,AUTO WIPER | MALFUNCTION
V13,AUTO FOLD MIRRORS | MALFUNCTION
V09,B-PILLAR MOLDING | FELL OFF / LOOSE
V09,A-PILLAR MOLDING | FELL OFF / LOOSE
V09,A-PILLAR MOLDING | CRACKED
V13, SIDE AND REAR VIEW MIRRORS | SWITCH
V75,FRONT BUMPER | DESIGN
V09,WINDSHIELD | WIND NOISE
V77,HEADLIGHTS PERFORMANCE | MALFUNCTION
V09,WINDSHIELD | POOR APPARENCY
V75,REAR SPOILER | FELL OFF
V31,LIFTGATE HINGE | GRABBING
V15,WASHER RESERVOIR | LEAK
V77,TAIL LIGHTS HOUSING | CRACKED
V75,FUEL DOOR PIN | LOOSE / BROKE
V07,PRE-COLLISION ASSIST | AJAR MALFUNCTION
V07,SWING GATE LATCH | AJAR MALFUNCTION
V15,FRONT WIPER MOTOR | SPEED DESIGN
V75,ROOF RACK | CRACKED / BROKEN
V09,SIDE WINDOW | EXPLODED
V09,MOONROOF | MISALIGNED
V07,POWER DOOR LOCK | MALFUNCTION
V77,TAIL LIGHT COVER | SHARP EDGES
V09,REAR WINDOW | LOOSE / DETACHED
V09,WINDSHIELD COWL | UNKNOWN
V77,HEADLIGHTS | POOR VISIBILITY
V75,COWL | UNKNOWN
V77,HEADLIGHTS (DESIGN) | SNOW ACCUMULATION
V75,WHEEL WELL LINER | LOOSE / FELL OFF
V75,UNDERBODY TRIM | LOOSE / FELL OFF
V13,SIDE MIRRORS | DESIGN
V77,TAIL LIGHT | DESIGN (EASY TO STEAL)
V16,PRE-COLLISION ASSIST | MALFUNCTION
V07,HEADLIGHTS | AJAR MALFUNCTION
V31,HOOD MOLDING | FELL OFF / LOOSE
V15,FRONT WIPER | DESIGN
V75,REAR SPOILER | BROKEN
V31,UNDER ENGINE SHIELD | DESIGN
V15,WASHER HOSE | LOOSE
V09,ROOF HARDTOP | DELAMINATION
V31,DOOR SIDE BAR IMPACT | LOOSE
