,CMPLID,ODINO,MFR_NAME,MAKETXT,MODELTXT,YEARTXT,CRASH,FAILDATE,FIRE,INJURED,DEATHS,COMPDESC,CITY,STATE,VIN,DATEA,LDATE,MILES,OCCURENCES,CDESCR,CMPL_TYPE,POLICE_RPT_YN,PURCH_DT,ORIG_OWER_YN,ANTI_BRAKES_YN,CRUISE_CONT_YN,NUM_CYLS,DRIVE_TRAIN,FUEL_SYS,FUEL_TYPE,TRASN_TYPE,VEH_SPEED,DOT,TIRE_SIZE,LOC_OF_TIRE,TIRE_FAIL_TYPE,ORIG_EQUIP_YN,MANUF_DT,SEAT_TYPE,RESTRAINT_TYPE,DEALER_NAME,DEALER_TEL,DEALER_CITY,DEALER_STATE,DEALER_ZIP,PROD_TYPE,REPAIRED_YN,MEDICAL_ATTN,VEHICLES_TOWED_YN,YEAR.TXT,FULL_STATE,FAIL_QUARTER,FULL_VIN,EXTRACTED_DATE,FUNCTION_,COMPONET,FAILURE,BINNING,VFG,FAILURE_MODE,REPAIR_DATE_1,REPAIR_DATE_2,To_be_Binned,NewOld,New_Failure_Mode,MILEAGE_CLASS,PROD_DATE,VEHICLE_LINE_WERS,VEHICLE_LINE_GSAR,VEHICLE_LINE_GLOBAL,ASSEMBLY_PLANT,WARRANTY_START_DATE
10,1971464,11575207,Ford Motor Company,FORD,EXPLORER,2021.0,N,03/03/2024,N,0,0,ENGINE,Aliquippa ,PA,1FM5K8GC0MG,03/03/2024,03/03/2024,,,"My vehicle started to put up messages regarding going into power saver mode.  The vehicle then said all wheel drive not available.  After that electrical components started going unavailable such as power steering, brake assist, blind spot monitoring, cameras, and traction control.  The vehicle then shut down while driving and all I could do was brake.  When I attempted to restart the vehicle it did not restart.  I jumped it and was able to safely pull it off the road.  This is the 2nd time in three weeks this happened. Ford looked at the vehicle and tightened the battery cables.  Then told me it was fine.",IVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,2021,Pennsylvania,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
11,1971468,11575210,Ford Motor Company,FORD,ESCAPE,2017.0,N,03/01/2024,N,0,0,ENGINE,Orem,UT,1FMCU9G90HU,03/04/2024,03/04/2024,,,"Their vehicle’s engine has a defect in the design created by Ford Motor Company that results in coolant leaking into the cylinders which causes engine failure, corrosion, and fire, which causes a severe safety risk to passengers and other vehicles and persons unless a new engine without the defective Ford design is placed into the vehicle. Numerous other Ford vehicle owners with vehicles containing the defective engine have reported the exact same failures and coolant leaks, as determined by Ford service technicians or other auto repair technicians. Ford as the manufacturer knows of their defective design but refuses to replace the engine through their expense by recall or other means. The check engine light is illuminated due to the engine misfiring because of the coolant leak, which causes failed emissions tests and does not allow me to be able to register the vehicle according to state and county requirements. Attached are a picture of the current engine’s defect and a new engine. The defect in the old engine is a slit cut into the wall between cylinders. This compromises the integrity of the cylinder walls and engine as a whole. The newer engines are manufactured after 2020 and they have removed the defective slit and replaced it with a drilled hole that doesn’t compromise the engine.",IVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,2017,Utah,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
12,1971476,11575216,Ford Motor Company,FORD,F-150,2006.0,N,02/23/2024,N,0,0,STRUCTURE:BODY,Bensalem,PA,1FTPW14566F,03/04/2024,03/04/2024,,,Rotted and bent frame realized after purchase on February 22 at nj car and driver (Cadillacs Plus) for $3500.00 Continues to stall and feels like it’s going to crack in two. Stalled a few times while driving and had to put it in neutral to start back up ,IVOQ,N,,N,N,N,,,,,,35.0,,,,,,,,,,,,,,V,,N,N,2006,Pennsylvania,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
13,1971482,11575220,Ford Motor Company,FORD,F-150,2018.0,N,02/02/2024,N,0,0,POWER TRAIN,Thornton,CO,1FTEW1EGXJF,03/04/2024,03/04/2024,,,"Vehicle continues to slip with the transmission and also lose power. I took it to FORD to get it checked out, and they provided the code of p07f7. From what I've read online, this isn't the first time this has happened and their transmission are very faulty. The vehicle will downshift from whichever gear to 1st, and nearly causing multiple wrecks. The wrench light is the only thing that will come on to notify of the problem.",IVOQ,N,,N,N,N,,,,,,65.0,,,,,,,,,,,,,,V,,N,N,2018,Colorado,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
14,1971484,11575221,Ford Motor Company,FORD,EDGE,2019.0,N,10/14/2023,N,0,0,POWER TRAIN,Omaha,NE,2FMPK4J95KB,03/04/2024,03/04/2024,,,"After 60k miles the vehicle shifts so hard it jerks when getting off the highway and also in town. The vehicle was purchased brand new. The vehicle was looked at by the dealership who was able to reproduce the issue. They advised that an update to the software was needed and the transmission would need replaced. Took for a 2nd opinion, at a transmission specialist, they were unable to reproduce the issue (after the software update) and advised that they did not feel comfortable replacing the transmission when they are unable to reproduce the issue. The issue mainly happens coming off highway to driving in city when going from 70mph to 30mph or going up hill from a stop. There are no warning lights that come on for this issue. This issue was observed by multiple family members. It appears as though this is not the first 2019 Ford Edge with the issue. There is a whole thread about this specific issue on [XXX] , where it was suggested to put in a complaint here. INFORMATION REDACTED PURSUANT TO THE FREEDOM OF INFORMATION ACT (FOIA), 5 U.S.C. 552(B)(6)",IVOQ,N,,N,N,N,,,,,,45.0,,,,,,,,,,,,,,V,,N,N,2019,Nebraska,Q4, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
15,1971491,11575226,Ford Motor Company,FORD,EXPLORER,2018.0,N,12/20/2023,N,0,0,UNKNOWN OR OTHER,Salem,MA,1FM5K8D82JG,03/04/2024,03/04/2024,,,"Heat stopped working in Dec.  Had it checked by local mechanic coolant very low but couldn’t find leak.  Heat was working and no check engine light ever went on.  About month later  had car back for oil change and mechanic found leak, again no check engine or warning ever came on. Finally got appt at ford dealer $3000 to repair and was told would take 11 hrs.  Ten days later car was supposed to be fixed.  Pick up car.  Next day when heat was put on there was a terrible burning rubber smell and now a very load noise which wasn’t there when vehicle was dropped off ",IVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,2018,Massachusetts,Q4, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
16,1971508,11575236,Ford Motor Company,FORD,EDGE,2017.0,N,02/28/2023,N,0,0,ENGINE AND ENGINE COOLING,Poca,WV,2FMPK4G99HB,03/04/2024,03/04/2024,79000.0,,"The contact owns a 2017 Ford Edge. The contact stated while driving 65 MPH, the check engine warning light illuminated, and the contact became aware of a coolant odor inside the cabin of the vehicle. The vehicle was taken to an independent mechanic where it was diagnosed that the coil pack needed to be replaced. The vehicle was repaired but the failure persisted. The manufacturer was notified of the failure. The failure mileage was 79,000.",EVOQ,N,,N,N,N,,,,,,65.0,,,,,,,,,,,,,,V,,N,N,2017,West Virginia,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
17,1971519,11575244,Ford Motor Company,FORD,EDGE,2018.0,N,10/07/2023,N,0,0,ENGINE,APPLETON,ME,2FMPK4J97JB,03/04/2024,03/04/2024,,,Check engine light will appear. Vehicle is blowing number two cylinder along with spark plug every two weeks. It is going through large amounts of antifreeze. Drives as if it is bogged down and shifts very hard and loud. While driving is shakes from front end. I have brought vehicle to a master mechanic and has started that the head gasket will eventually break or could catch fire. This is a on going issue at this time. ,IVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,2018,Maine,Q4, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
18,1971528,11575252,Ford Motor Company,FORD,MAVERICK,2022.0,N,03/03/2024,N,0,0,POWER TRAIN,Countryside,IL,3FTTW8E3XNR,03/04/2024,03/04/2024,,,"While towing my boat down the interstate my truck lost all power from the engine and the dash began flashing with all sorts of errors. There was zero warning of this. Thankfully, I was safely able to get to the side of the interstate thankfully but I was basically dead in the water. The truck would sort of drive on its own, no input from me at all, it would just start moving if I let off the brakes and get up to about 35mph. The dash had the check engine light on, ABS light, and the transmission light on. The following messages came up on the screen; service engine, service advancetrac, hill start assist disabled, and the pre-collision assist was disabled.   Thankfully no one was injured but it was incredibly dangerous that the vehicle lost all power in 70+ mph traffic, especially while towing a boat. ",IVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,2022,Illinois,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
19,1971532,11575254,Ford Motor Company,FORD,FUSION,2016.0,N,02/26/2024,N,0,0,ENGINE,Madison Heights,MI,3FA6P0H96GR,03/04/2024,03/04/2024,,,"Coolant leaking into cylinder, overheating, headgasket",IVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,2016,Michigan,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
20,1971539,11575261,Ford Motor Company,FORD,F-150,2013.0,N,12/02/2023,N,0,0,ELECTRICAL SYSTEM,Cedar Springs,MI,1FTFX1EF4DK,03/04/2024,03/04/2024,,,"I HAD NO PROBLEMS UNTILL I WENT TO VANDERHYDE FORD FOR A OIL CHANGE AND HAD THEM PERFORN TRANMISSION DOWNSHIFTING RECALL . WELL NOW IT IS DOING EXACTLY WHAT THE RECALL WAS TO MADE TO NOT LET IT DO DO . IT WILL DOWN SHIFT ABRUPTLY AND SHOW A WRENCH LIGHT COMS ON AND TURN SNIGAL WILL NOT CANCELL AND ODOMETER STOPS WORKING . THEY SAID THEY HAD A PROBLEM  PREFORMING THE RECALL DO TO A REMOTE STARTER SYSTEM ON MY TRUCK  . I AM A CERTIFIED TECH WITH ASE  AND A PAST PARTS AND SERVICE MANAGER AND HAVE NEVER HEARD SUCH PROBLEMS FOIR ANY REPROGRAMMING  RECALL. MY TRUCK HAS OVER 194,000 AND NEVER HAD ANY NTRANS PROBLEMS BEFORE RECALL . I CAN CLEAR CODES AND LET IT SIT AND DRIVES NORMAL WITH NO PROBLEMS  AND THEY TELL MI IT WILL TAKE $2000.00 DOLLARS TO FIX THE PROBLEM THEY CREATED . SEVERAL OTHER REPORTS OF THIS ON INTERNET ",IVOQ,N,,N,N,N,,,,,,10.0,,,,,,,,,,,,,,V,,N,N,2013,Michigan,Q4, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
21,1971542,11575263,Ford Motor Company,FORD,F-250,2020.0,N,02/26/2024,N,0,0,POWER TRAIN,Oklahoma City,OK,1FT7W2BT8LE,03/04/2024,03/04/2024,,,The transmission went out at 115000 miles. There is metal all in the pan and damaged the valve body. After valve body replaced the transmission still would not go into gear correctly and its an internal failure known to occur in the 10-speed 2020 10r140. This needs to be a recall.,IVOQ,N,,N,N,N,,,,,,10.0,,,,,,,,,,,,,,V,,N,N,2020,Oklahoma,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
22,1971544,11575265,Ford Motor Company,FORD,F-150,2018.0,N,03/04/2024,N,0,0,POWER TRAIN,Kermit,WV,1FTEW1EG6JK,03/04/2024,03/04/2024,102000.0,,"The contact owns a 2018 Ford F-150. The contact stated that while driving approximately 60 MPH, the transmission erroneously shifted into neutral, causing the vehicle to suddenly lose motive power. The vehicle failed to accelerate while depressing the accelerator pedal. After stopping the vehicle, the transmission was able to be shifted into drive and the vehicle was driven to a nearby fuel station. The cause of the failure was not yet determined. The manufacturer was notified of the failure, but no assistance was offered. The local dealer was not yet contacted. The failure mileage was 102,000.",EVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,2018,West Virginia,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
23,1971546,11575267,Ford Motor Company,FORD,ESCAPE,2020.0,N,03/04/2024,N,0,0,STRUCTURE:BODY,Chatfield ,MN,1FMCU9H9XLU,03/04/2024,03/04/2024,,,Drivers door started popping very loud spoke to ford about it they said to report the safety issue on the welds breaking in the door ,IVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,2020,Minnesota,Q1, ,02/22/2024,F8,DOOR,HINGE,DOOR | HINGE, ~ ,,,,,New,,> 36K,,,,,,
24,1971547,11575268,Ford Motor Company,FORD,EXPLORER,2014.0,N,03/04/2024,N,0,0,WHEELS,Middletown,NJ,1FM5K8D88EG,03/04/2024,03/04/2024,,,"My 2014 Explorer has developed corrosion on all 4 aluminum wheels causing air loss along the tire bead while driving.  Underinflated tires generate heat, tire distortion and catastrophic failure. I had one wheel ""repaired"" at Tom's Ford in February 2023 at a cost of 187.95.  Please see attached and note Ford themselves refer to the rim as rusted.  Aluminum wheels should not rust nor corrode.  It is my position Ford used dissimilar metals for coating the wheels to enhance appearance and in the process has created a dangerous situation of leaking tires. ",IVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,2014,New Jersey,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
25,1971552,11575272,Ford Motor Company,FORD,EDGE,2017.0,N,03/04/2024,N,0,0,ENGINE,Jacksonville,FL,2FMPK3K98HB,03/04/2024,03/04/2024,,,"The engine is malfunctioning. Yes, the  vehicle is available for inspection upon request. The engine could fail, loss of power, if while passing a vehicle on 2 lane highway a major loss of coolant, overheating due to loss of coolant. Result could be major damage to engine and or fire or both resulting in an accident . The problem has been confirmed by both a Ford dealership and an independent service center. The vehicle engine has been inspected by a Ford dealership in Jacksonville Fl. The engine warning light has come on several times since late 2022 or early 2023. This is when it 1st appeared. 2 dates are significant here: 3/28/23 an engine diagnostic completed due to engine light on, a slight mist detected into cylinder one.  2/19/24 another engine diagnostic completed at Autonation Ford in Jacksonville FL. Confirmed to me by telephone conversation that coolant is leaking into a cylinder. The remedy: a new, remanufactured or used engine has to be installed. All this information is on the 2.0 L Ecoboost engine made by Ford Motor Co. This  problem has been known by Ford since maybe as early 2013, not only on this model from 2015-2018 but on the Ford Fusion 2017-2019, Ford Escape, built on or before 16 May-2019. Lincoln Model MKC, built on or before18-April 2019; 2017-2019 MKZ, built on or before 8-April 2019. Reference#': [XXX] issued [XXX]  Superseded bulletin(s) [XXX]   NOTE: Bulletin [XXX] supersedes [XXX].  INFORMATION REDACTED PURSUANT TO THE FREEDOM OF INFORMATION ACT (FOIA), 5 U.S.C. 552(B)(6) ",IVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,2017,Florida,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
26,1971566,11575279,Ford Motor Company,FORD,ESCAPE,2020.0,N,11/07/2023,N,0,0,STRUCTURE:BODY,Warwick,RI,1FMCU9H6XLU,03/04/2024,03/04/2024,,,The driver’s side front door made a creaking/popping sound when opened due to an issue with the welding. This same issue also prevents the window from being rolled down.,IVOQ,N,,N,N,N,,,,,,0.0,,,,,,,,,,,,,,V,,N,N,2020,Rhode Island,Q4, ,02/22/2024,F8,DOOR,F&F,DOOR | F&F, ~ ,,,,,New,,> 36K,,,,,,
27,1971572,11575284,Ford Motor Company,FORD,EXPLORER,2016.0,N,03/01/2024,N,0,0,STRUCTURE:BODY,Hot Springs,AR,1FM5K7F89GG,03/04/2024,03/04/2024,,,"The roof rack on the left side of the vehicle became unattached in transit, and flew off into traffic.",IVOQ,N,,N,N,N,,,,,,70.0,,,,,,,,,,,,,,V,,N,N,2016,Arkansas,Q1, ,02/22/2024,F8,ROOF RACK,LOOSE,ROOF RACK | LOOSE, ~ ,LOOSEN,,,,New,,> 36K,,,,,,
28,1971580,11575290,Ford Motor Company,LINCOLN,NAVIGATOR,2017.0,N,02/04/2024,N,0,0,BACK OVER PREVENTION,Mc Lean,VA,5LMJJ2JT6HE,03/04/2024,03/04/2024,69000.0,,"The contact owns a 2017 Lincoln Navigator. The contact stated while reversing, the rear-view camera image was blue. The contact stated that the failure had been recurring while reversing. The vehicle was taken to the local dealer, where it was diagnosed that the rear-view camera had failed and needed to be replaced. The vehicle was being repaired. The contact related the failure to NHTSA Campaign Number: 23V598000 (Back Over Prevention); however, the VIN was not included. The manufacturer was notified of the failure and referred the contact to the NHTSA Hotline for assistance. The failure mileage was approximately 69,000.",EVOQ,N,,N,N,N,,,,,,,,,,,,,,,CMA's Colonial Lincoln Parts,,Charlottesville,VA,22901.0,V,,N,N,2017,Virginia,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
29,1971582,11575292,Ford Motor Company,FORD,EDGE,2017.0,N,02/26/2024,N,0,0,ENGINE,Phoenix,AZ,2FMPK3J95HB,03/04/2024,03/04/2024,,,"Check engine light came on so I made an appointment and drove the vehicle to Peoria Ford.  They said CODE P0302 IN PCM, FOUND TSB FOR CONCERN [XXX], PRESSURE TEST COOLING SYSTEM FOUND COOLANT LEAKING FROM CYLINDER 2, RECOMMEND ADDRESS TSB AND RETEST This could cause a misfire, overheat, or vehicle to catch fire. INFORMATION REDACTED PURSUANT TO THE FREEDOM OF INFORMATION ACT (FOIA), 5 U.S.C. 552(B)(6) ",IVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,2017,Arizona,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
30,1971586,11575294,Ford Motor Company,FORD,MAVERICK,2023.0,N,03/02/2024,N,0,0,SERVICE BRAKES,Hacienda Heights,CA,3FTTW8E37PR,03/04/2024,03/04/2024,,,"On occasion, at slow speeds, typically when coming to a slow stop (such as at a stop sign or light), the vehicle's brakes appear to ""grab"", car ""shutters"", feels as if car's brakes are locking or vehicle is about to turn off.  I am the original owner of this vehicle, less than 7,000 miles, this problem has happened approximately 10 times.   This problem could have resulted in a dangerous situation, the last time this happened someone was crossing in front of me at a crosswalk and I was not sure vehicle was going to stop.  ",IVOQ,N,,N,N,N,,,,,,5.0,,,,,,,,,,,,,,V,,N,N,2023,California,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
31,1971593,11575298,Ford Motor Company,FORD,EDGE,2017.0,N,02/24/2024,N,0,0,ENGINE AND ENGINE COOLING,Clinton,OH,2FMPK3G94HB,03/04/2024,03/04/2024,82000.0,,"The contact owns a 2017 Ford Edge. The contact stated that after starting the vehicle, there was a hesitation in acceleration while depressing the accelerator pedal. Days later, the check engine warning illuminated. The vehicle was driven to a local dealer where it was diagnosed that engine coolant had leaked into the engine, causing the engine to need to be replaced. The vehicle was not repaired. The manufacturer was made aware of the failure. The failure mileage was approximately 82,000.",EVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,2017,Ohio,Q1, ,02/22/2024,NOT F8,~,~,~ | ~, ~ ,,,,,New,,> 36K,,,,,,
